Time [ms], Thumb, Index, Middle, Ring, Little, force
246.890165, 1705, 1815, 2968, 2063, 2920, 0.255041, 
247.595806, 1705, 1815, 2968, 2063, 2920, 0.253752, 
248.649709, 1705, 1815, 2968, 2063, 2920, 0.255041, 
249.168273, 1705, 1815, 2968, 2063, 2920, 0.256331, 
249.798063, 1705, 1815, 2968, 2063, 2920, 0.257621, 
250.409618, 1705, 1815, 2968, 2063, 2920, 0.255041, 
251.030291, 1705, 1815, 2968, 2063, 2920, 0.253752, 
251.676855, 1705, 1815, 2968, 2063, 2920, 0.256331, 
252.233710, 1705, 1815, 2968, 2063, 2920, 0.258910, 
252.833231, 1705, 1815, 2968, 2063, 2920, 0.255041, 
253.457915, 1705, 1815, 2968, 2063, 2920, 0.260200, 
254.028628, 1705, 1815, 2968, 2063, 2920, 0.257621, 
254.590588, 1705, 1815, 2968, 2063, 2920, 0.261489, 
255.170782, 1705, 1815, 2968, 2063, 2920, 0.258910, 
257.018941, 1705, 1815, 2968, 2063, 2920, 0.288570, 
257.760321, 1705, 1815, 2968, 2063, 2920, 0.262779, 
258.498418, 1705, 1815, 2968, 2063, 2920, 0.265358, 
259.011512, 1705, 1815, 2968, 2063, 2920, 0.267937, 
259.632549, 1705, 1815, 2968, 2063, 2920, 0.267937, 
260.201073, 1705, 1815, 2968, 2063, 2920, 0.267937, 
261.040914, 1705, 1815, 2968, 2063, 2920, 0.274385, 
261.933632, 1705, 1815, 2968, 2063, 2920, 0.271806, 
262.796447, 1705, 1815, 2968, 2063, 2920, 0.274385, 
263.477655, 1705, 1815, 2968, 2063, 2920, 0.278254, 
264.241279, 1705, 1815, 2968, 2062, 2920, 0.273095, 
264.846271, 1705, 1815, 2968, 2062, 2920, 0.278254, 
265.460744, 1705, 1815, 2968, 2062, 2920, 0.279543, 
266.069382, 1705, 1815, 2968, 2062, 2920, 0.279543, 
267.867946, 1705, 1815, 2968, 2062, 2920, 0.280833, 
268.692471, 1705, 1815, 2968, 2062, 2920, 0.283412, 
269.420357, 1705, 1815, 2968, 2062, 2920, 0.285991, 
270.066556, 1705, 1815, 2968, 2062, 2920, 0.288570, 
270.744482, 1705, 1815, 2968, 2062, 2920, 0.285991, 
271.389953, 1705, 1815, 2968, 2062, 2920, 0.293728, 
272.060585, 1705, 1815, 2968, 2062, 2920, 0.289860, 
272.732677, 1705, 1815, 2968, 2062, 2920, 0.309203, 
273.336209, 1705, 1815, 2968, 2062, 2920, 0.293728, 
274.006842, 1705, 1815, 2968, 2062, 2920, 0.293728, 
274.649759, 1705, 1815, 2968, 2062, 2920, 0.301466, 
275.364153, 1705, 1815, 2968, 2062, 2920, 0.296307, 
275.978990, 1705, 1815, 2968, 2062, 2920, 0.302755, 
277.781931, 1705, 1815, 2968, 2062, 2920, 0.302755, 
278.668450, 1705, 1815, 2968, 2062, 2920, 0.302755, 
280.159231, 1705, 1815, 2968, 2063, 2920, 0.304045, 
280.955310, 1705, 1815, 2968, 2063, 2920, 0.310493, 
281.607709, 1705, 1815, 2968, 2063, 2920, 0.309203, 
283.237431, 1705, 1815, 2968, 2063, 2920, 0.311782, 
283.902958, 1705, 1815, 2968, 2063, 2920, 0.311782, 
284.487528, 1705, 1815, 2968, 2063, 2920, 0.318230, 
285.152690, 1705, 1815, 2968, 2063, 2920, 0.313072, 
286.906035, 1705, 1815, 2968, 2063, 2920, 0.320809, 
287.635015, 1705, 1815, 2968, 2063, 2920, 0.320809, 
290.041124, 1705, 1815, 2968, 2063, 2920, 0.318230, 
290.620224, 1705, 1815, 2968, 2063, 2920, 0.323388, 
291.255848, 1705, 1815, 2968, 2063, 2920, 0.320809, 
292.098971, 1705, 1815, 2968, 2063, 2920, 0.325967, 
292.745900, 1705, 1815, 2968, 2063, 2920, 0.329836, 
293.382618, 1705, 1815, 2968, 2063, 2920, 0.325967, 
294.399689, 1705, 1815, 2968, 2063, 2920, 0.327257, 
295.281102, 1705, 1815, 2968, 2063, 2920, 0.328547, 
296.190960, 1706, 1815, 2968, 2063, 2920, 0.329836, 
298.012499, 1706, 1815, 2968, 2063, 2920, 0.332415, 
299.256396, 1706, 1815, 2968, 2063, 2920, 0.332415, 
299.892020, 1706, 1815, 2968, 2063, 2920, 0.333705, 
300.527280, 1706, 1815, 2968, 2063, 2920, 0.331126, 
301.144670, 1706, 1815, 2968, 2063, 2920, 0.337574, 
301.801445, 1706, 1815, 2968, 2063, 2920, 0.336284, 
302.399873, 1706, 1815, 2968, 2063, 2920, 0.338863, 
302.935577, 1706, 1815, 2968, 2063, 2920, 0.334994, 
303.475292, 1706, 1815, 2968, 2063, 2920, 0.342732, 
